Astar,BFS,DFS,Dijkstra
1.494557,1.70516,2.820945,1.489514
1.44147,1.323011,8.250867,1.364472
1.26087,1.17871,14.682958,1.250796
1.461372,1.99559,1.913178,1.996062
1.163839,0.839665,18.176976,0.886538
0.417366,0.776283,20.677622,0.410968
0.854782,0.344282,15.883052,0.944505
0.946671,2.026638,11.030301,1.953682
1.94827,1.059038,20.82237,1.737192
0.75077,0.676566,13.085161,0.756968
2.375061,1.050693,16.319444,2.37621
1.15544,2.424695,18.286217,1.138673
0.410793,2.410481,9.377715,2.385197
2.386905,0.491801,13.954395,0.398932
1.999335,2.406986,1.859775,2.035344
0.946834,1.001225,21.911715,0.937742
1.156246,0.777865,22.680285,0.821452
0.817506,1.895513,10.595742,1.206566
1.953519,1.037709,18.224491,1.886503
1.07918,1.19592,20.896116,1.074295
0.770847,0.703859,17.228135,1.192028
1.18734,1.236563,17.396163,0.784545
1.505207,1.500105,12.505441,1.50645
2.676239,2.743559,,2.677519
2.776411,1.928974,,1.886561
1.892875,2.794343,,2.770954
2.802896,2.84646,,2.802274
0.088097,0.008123,,0.089354
1.646254,2.538984,,2.603375
2.589614,1.612071,,1.653512